query_id,original_query_id,key_id,original_key_id
0,1,2989,31715818
137,3,816,14717500
173,5,586,13734012
74,13,1010,1606628
148,36,4216,5152028
148,36,252,11705328
159,42,1283,18174210
170,48,586,13734012
171,49,4394,5953485
174,50,390,12580014
179,51,4067,45638119
188,53,4067,45638119
194,54,4182,49556906
201,56,4138,4709641
204,57,4138,4709641
230,70,4396,5956380
230,70,3931,4414547
236,72,4418,6076903
245,75,3895,4387784
289,94,331,1215116
298,99,1359,18810195
1,100,3890,4381486
21,113,4443,6157837
28,115,3138,33872649
33,118,4482,6372244
52,124,4162,4883040
58,127,1776,21598000
66,128,4855,8290953
70,129,2686,27768226
75,130,2686,27768226
79,132,4803,7975937
81,133,3503,38485364
81,133,4602,6969753
81,133,1253,17934082
81,133,1037,16280642
81,133,400,12640810
93,137,2495,26016929
100,141,4596,6955746
100,141,758,14437255
101,142,86,10582939
102,143,86,10582939
103,146,86,10582939
104,148,131,1084345
105,163,1367,18872233
106,171,412,12670680
107,179,1043,16322674
107,179,2619,27123743
107,179,2054,23557241
107,179,1189,17450673
108,180,1130,16966326
109,183,436,12827098
110,185,1304,18340282
111,198,1795,2177022
112,208,557,13519661
113,212,1835,22038539
114,213,574,13625993
115,216,1723,21366394
116,217,1723,21366394
117,218,1723,21366394
118,219,1723,21366394
119,230,2909,3067015
120,232,74,10536636
121,233,3898,4388470
122,236,3898,4388470
123,237,4178,4942718
124,238,1904,2251426
125,239,685,14079881
126,248,951,1568684
127,249,951,1568684
128,261,177,1122279
128,261,111,10697096
129,268,5128,970012
130,269,5128,970012
131,274,239,11614737
132,275,4184,4961038
132,275,718,14241418
132,275,829,14819804
133,279,745,14376683
134,294,135,10874408
135,295,1558,20310709
136,298,3575,39381118
138,300,3266,3553087
139,303,3898,4388470
140,312,4447,6173523
141,314,3861,4347374
142,324,1535,2014909
143,327,1262,17997584
144,338,2024,23349986
145,343,4783,7873737
145,343,4383,5884524
146,350,1123,16927286
147,354,4975,8774475
149,362,3512,38587347
150,380,1386,19005293
151,384,594,13770184
152,385,5172,9955779
152,385,5142,9767444
153,386,1064,16495649
154,388,220,1148122
155,399,4788,791050
156,410,847,14924526
157,411,847,14924526
158,415,4471,6309659
160,421,171,11172205
161,431,2787,28937856
162,436,797,14637235
163,437,1315,18399038
164,439,3953,4423559
165,440,3953,4423559
166,443,20,10165258
167,452,430,12804937
167,452,4102,464511
168,475,1347,18678095
169,478,823,14767844
172,491,4340,56893404
175,501,1251,17930286
176,502,480,13071728
177,507,2914,30774694
178,508,676,13980338
180,513,501,13230773
181,514,1034,16256507
182,516,2837,29564505
183,517,946,15663829
184,521,3224,34873974
185,525,576,13639330
186,527,3515,3863543
187,528,4304,5476778
189,532,463,12991445
190,533,463,12991445
191,535,3574,39368721
192,536,1007,16056514
193,539,511,13282296
195,540,283,11886686
195,540,2311,25007443
196,544,2162,24221369
197,549,5072,9433958
198,551,3111,33499189
199,552,812,1471041
200,554,67,1049501
202,560,3631,40096222
203,569,2044,23460562
205,575,39,10300888
206,577,4262,5289038
207,578,4973,8764879
208,587,1133,16999023
209,589,148,10984005
210,593,1473,19675911
211,597,423,12779444
211,597,3330,36355784
211,597,2437,25742130
212,598,2437,25742130
213,613,5116,9638032
214,619,1654,20888849
214,619,2420,2565138
215,623,1134,17000834
216,628,2210,24512064
217,636,2177,24294572
218,637,2419,25649714
219,641,4385,5912283
219,641,2978,31554917
220,644,571,13619127
221,649,426,12789595
222,659,331,1215116
223,660,331,1215116
224,674,1662,2095573
225,684,4178,4942718
226,690,1356,18750453
227,691,149,10991183
228,692,2144,24088502
229,693,2144,24088502
231,700,3863,4350400
232,702,3863,4350400
233,715,1318,18421962
234,716,1318,18421962
235,718,1205,17587795
237,721,1307,1834762
238,723,4316,5531479
239,727,4719,7521113
240,728,4719,7521113
240,728,3337,36444198
241,729,2593,26851674
242,742,3018,32159283
243,743,3018,32159283
244,744,4897,8460275
246,756,2733,2831620
247,759,1271,1805641
248,768,4496,6421792
249,770,911,15476777
250,775,3027,32275758
251,781,2185,24338780
252,783,3664,40632104
253,784,2055,2356950
254,785,380,12471115
255,793,4919,8551160
256,800,1910,22543403
257,805,1855,22180793
258,808,3349,36606083
259,811,1486,19799455
260,814,3104,33387953
261,820,4945,8646760
262,821,4945,8646760
263,823,882,15319019
264,830,1379,1897324
265,831,1379,1897324
266,832,2881,30303335
267,834,4305,5483793
268,837,984,15928989
269,839,809,1469751
270,845,1228,17741440
271,847,1106,16787954
272,852,617,13843341
273,859,1491,1982286
274,870,1457,195689316
275,873,268,1180972
275,873,1416,19307912
275,873,2648,27393799
275,873,2791,29025270
275,873,3095,3315558
276,879,4886,8426046
277,880,4886,8426046
278,882,827,14803797
279,887,1364,18855191
280,903,98,10648422
281,904,4685,7370282
282,907,4589,6923961
283,911,187,11254556
284,913,3012,3203590
285,914,3012,3203590
286,921,1057,1642727
287,922,1142,17077004
288,936,4305,5483793
290,956,461,12956194
291,957,365,123859
292,960,4977,8780599
293,967,1691,2119889
293,967,5004,8997410
294,971,4117,46695481
294,971,2694,27873158
294,971,2761,28617573
294,971,5141,9764256
295,975,4268,5304891
296,982,2858,2988714
297,985,4574,6828370
299,993,1061,16472469
2,1012,5135,9745001
3,1014,4465,6277638
4,1019,237,11603066
5,1020,5072,9433958
6,1021,5072,9433958
7,1024,4276,5373138
8,1029,654,13923140
8,1029,660,13940200
8,1029,285,11899391
9,1041,2347,25254425
9,1041,1079,16626264
10,1049,381,12486491
11,1062,1575,20381484
12,1086,3562,39281140
13,1088,3428,37549932
14,1089,1211,17628888
15,1099,4750,7662206
16,1100,4750,7662206
17,1104,3549,3898784
18,1107,1600,20532591
19,1110,594,13770184
20,1121,3989,4456756
22,1130,1262,17997584
23,1132,3111,33499189
23,1132,5052,9283422
24,1137,3103,33370
25,1140,306,12009265
26,1144,11,10071552
27,1146,639,13906581
29,1150,205,11369420
30,1163,881,15305881
31,1175,2954,31272411
32,1179,2954,31272411
34,1180,2954,31272411
35,1185,1101,16737210
36,1187,4259,52873726
37,1191,2907,30655442
38,1194,211,11419230
39,1196,2419,25649714
40,1197,2419,25649714
41,1199,1104,16760369
42,1200,3192,3441524
43,1202,3218,3475317
