query-id,corpus-id,score
0,2989,1
137,816,1
173,586,1
74,1010,1
148,4216,1
148,252,1
159,1283,1
170,586,1
171,4394,1
174,390,1
179,4067,1
188,4067,1
194,4182,1
201,4138,1
204,4138,1
230,4396,1
230,3931,1
236,4418,1
245,3895,1
289,331,1
298,1359,1
1,3890,1
21,4443,1
28,3138,1
33,4482,1
52,4162,1
58,1776,1
66,4855,1
70,2686,1
75,2686,1
79,4803,1
81,3503,1
81,4602,1
81,1253,1
81,1037,1
81,400,1
93,2495,1
100,4596,1
100,758,1
101,86,1
102,86,1
103,86,1
104,131,1
105,1367,1
106,412,1
107,1043,1
107,2619,1
107,2054,1
107,1189,1
108,1130,1
109,436,1
110,1304,1
111,1795,1
112,557,1
113,1835,1
114,574,1
115,1723,1
116,1723,1
117,1723,1
118,1723,1
119,2909,1
120,74,1
121,3898,1
122,3898,1
123,4178,1
124,1904,1
125,685,1
126,951,1
127,951,1
128,177,1
128,111,1
129,5128,1
130,5128,1
131,239,1
132,4184,1
132,718,1
132,829,1
133,745,1
134,135,1
135,1558,1
136,3575,1
138,3266,1
139,3898,1
140,4447,1
141,3861,1
142,1535,1
143,1262,1
144,2024,1
145,4783,1
145,4383,1
146,1123,1
147,4975,1
149,3512,1
150,1386,1
151,594,1
152,5172,1
152,5142,1
153,1064,1
154,220,1
155,4788,1
156,847,1
157,847,1
158,4471,1
160,171,1
161,2787,1
162,797,1
163,1315,1
164,3953,1
165,3953,1
166,20,1
167,430,1
167,4102,1
168,1347,1
169,823,1
172,4340,1
175,1251,1
176,480,1
177,2914,1
178,676,1
180,501,1
181,1034,1
182,2837,1
183,946,1
184,3224,1
185,576,1
186,3515,1
187,4304,1
189,463,1
190,463,1
191,3574,1
192,1007,1
193,511,1
195,283,1
195,2311,1
196,2162,1
197,5072,1
198,3111,1
199,812,1
200,67,1
202,3631,1
203,2044,1
205,39,1
206,4262,1
207,4973,1
208,1133,1
209,148,1
210,1473,1
211,423,1
211,3330,1
211,2437,1
212,2437,1
213,5116,1
214,1654,1
214,2420,1
215,1134,1
216,2210,1
217,2177,1
218,2419,1
219,4385,1
219,2978,1
220,571,1
221,426,1
222,331,1
223,331,1
224,1662,1
225,4178,1
226,1356,1
227,149,1
228,2144,1
229,2144,1
231,3863,1
232,3863,1
233,1318,1
234,1318,1
235,1205,1
237,1307,1
238,4316,1
239,4719,1
240,4719,1
240,3337,1
241,2593,1
242,3018,1
243,3018,1
244,4897,1
246,2733,1
247,1271,1
248,4496,1
249,911,1
250,3027,1
251,2185,1
252,3664,1
253,2055,1
254,380,1
255,4919,1
256,1910,1
257,1855,1
258,3349,1
259,1486,1
260,3104,1
261,4945,1
262,4945,1
263,882,1
264,1379,1
265,1379,1
266,2881,1
267,4305,1
268,984,1
269,809,1
270,1228,1
271,1106,1
272,617,1
273,1491,1
274,1457,1
275,268,1
275,1416,1
275,2648,1
275,2791,1
275,3095,1
276,4886,1
277,4886,1
278,827,1
279,1364,1
280,98,1
281,4685,1
282,4589,1
283,187,1
284,3012,1
285,3012,1
286,1057,1
287,1142,1
288,4305,1
290,461,1
291,365,1
292,4977,1
293,1691,1
293,5004,1
294,4117,1
294,2694,1
294,2761,1
294,5141,1
295,4268,1
296,2858,1
297,4574,1
299,1061,1
2,5135,1
3,4465,1
4,237,1
5,5072,1
6,5072,1
7,4276,1
8,654,1
8,660,1
8,285,1
9,2347,1
9,1079,1
10,381,1
11,1575,1
12,3562,1
13,3428,1
14,1211,1
15,4750,1
16,4750,1
17,3549,1
18,1600,1
19,594,1
20,3989,1
22,1262,1
23,3111,1
23,5052,1
24,3103,1
25,306,1
26,11,1
27,639,1
29,205,1
30,881,1
31,2954,1
32,2954,1
34,2954,1
35,1101,1
36,4259,1
37,2907,1
38,211,1
39,2419,1
40,2419,1
41,1104,1
42,3192,1
43,3218,1
44,2946,1
45,1372,1
46,754,1
47,2147,1
48,1480,1
49,5120,1
50,597,1
51,638,1
53,3959,1
54,4751,1
55,2186,1
56,3934,1
57,3423,1
59,634,1
60,593,1
61,1143,1
62,160,1
63,371,1
63,2684,1
63,3921,1
64,197,1
65,197,1
67,3895,1
68,3895,1
69,2075,1
71,4126,1
72,4340,1
73,256,1
76,398,1
77,2700,1
78,1038,1
80,1038,1
82,4268,1
83,2700,1
84,2700,1
85,1548,1
86,914,1
87,5101,1
88,448,1
89,239,1
90,4855,1
91,4855,1
92,2169,1
94,2169,1
95,1043,1
95,2619,1
95,2054,1
95,1189,1
96,1229,1
97,2904,1
98,2111,1
99,1226,1
