id,text
0,Breast Cancer Cells Feed on Cholesterol
1,Using Diet to Treat Asthma and Eczema
2,Treating Asthma With Plants vs. Pills
3,How Fruits and Vegetables Can Treat Asthma
4,How Fruits and Vegetables Can Prevent Asthma
5,Our Tax Dollars Subsidize Unhealthy Foods
6,Reducing Arsenic in Chicken and Rice
7,How Contaminated Are Our Children?
8,"Blood Type Diet Perceived as ""Crass Fraud"""
9,Why Do Heart Doctors Favor Surgery and Drugs Over Diet?
10,Phytates in Beans: Anti-Nutrient or Anti-Cancer?
11,How Phytates Fight Cancer Cells
12,Colon Cancer Prevention: Is it the Fiber or the Phytates?
13,Low Carb Diets Found to Feed Heart Disease
14,How Curry Can Kill Cancer Cells
15,Testing Turmeric on Smokers
16,Alkylphenol Endocrine Disruptors and Allergies
17,Slowing Cognitive Decline with Berries
18,What is ‘Meat Glue’?
19,Is Liquid Smoke Safe?
20,Does Antioxidant Intake Matter for Stroke and Heart Disease?
21,Does Antioxidant Intake Matter for Cancer?
22,Is buying organic worth it? A review of the science in new DVD
23,Orange Aromatherapy for Anxiety
24,Food Manufacturers Get to Decide if Their Own Additives Are Safe
25,Meat Industry Wins Right to Sell Tainted Meat
26,Chicken Salmonella Outbreaks Show Food Safety Systems Failure
27,Viral Food Poisoning from Pesticides?
28,The Reversal on Fish Oil
29,Are Multivitamins Just a Waste of Money?
30,Understanding Lifestyle Medicine From the Heart
31,Don't Forget Fiber
32,Why Pepper Boosts Turmeric Blood Levels
33,Foods That Fight Osteoarthritis & Inflammation
34,The Spice That Helps Ease Rheumatoid Arthritis Pain
35,The Top Three DNA Protecting Spices
36,The Top Four Anti-Inflammatory Spices
37,Superbugs on Retail Chicken
38,Foods for Computer Eye Strain
39,Currant Treatment for Glaucoma
40,How Long to Avoid Fish Before Conception?
41,Boosting Anti-Cancer Immunity with Berries
42,The Vitamin Everyone on a Plant-Based Diet Needs
43,Comparing Vegans' Arteries to Runners'
44,"Add Beans, Berries, and Greens to More Meals"
45,How to Get Enough Antioxidants Each Day
46,The Reason We Need More Antioxidants
47,How Avoiding Eggs Could Help You Avoid Diabetes
48,Does Caramel Color Cause Cancer?
49,We Can End the Heart Disease Epidemic
50,How to Prevent Heart Disease
51,How Seafood Can Impact Brain Development
52,Why Pregnant Women Should Avoid Tuna
53,How Fatty Foods May Affect Our Love Life
54,Can One Become a Sugar Addict?
55,Where are Phosphate Additives Found?
56,What to Eat to Reduce Our Toxic Exposure
57,Our Immune System Uses Plants To Activate Gut Protection
58,Are Canned Beans as Healthy as Home Cooked?
59,Can Eating Soy Prevent Breast Cancer?
60,Eat Beans to Live Longer
61,Overdosing on Poppy Seeds
62,The Healthiest Diet for Weight Control
63,Why Athletes Should Eat Nutritional Yeast
64,Why the Egg-Cancer Link?
65,How Eggs Can Impact Body Odor
66,How to Design a Misleading Study
67,How Grapefruit Affects Prescription Drugs
68,Test to See If Your Diet is Alkaline or Acid Forming
69,Does Animal Protein Cause Osteoporosis?
70,Quadrupling Breast Cancer Survival
71,Cancer and the Animal-to-Plant Protein Ratio
72,How Plant-Based Diets May Extend Our Lives
73,A Low Methionine Diet May Help Starve Cancer Cells
74,How Animal Proteins May Trigger Autoimmune Disease
75,Handling Poultry Tied to Liver/Pancreatic Cancers
76,Improving Attractiveness in Six Weeks
77,Want to be Healthier? Change Your Taste Buds
78,How to Get Parents to Eat Their Vegetables
79,How To Get Our Kids to Eat Their Vegetables
80,How to Treat ADHD Without Drugs
81,Avoid Butter-Flavored Microwave Popcorn
82,Pistachios May Help Erectile Dysfunction
83,Foods for a Long Life and Love Life
84,Pills vs. Diet For Erectile Dysfunction
85,Which Seaweed to Help Prevent Breast Cancer?
86,Preloading With Watercress Before Exercise
87,Berries to Prevent Muscle Soreness
88,Toxin Contamination of Spirulina Supplements
89,Is Noni or Mangosteen Juice Safe?
90,Should Carrageenan Be Avoided?
91,Treating Menstrual Pain With Diet
92,Cayenne for Irritable Bowel
93,Natural Treatment for Cluster Headaches
